REPORTE DE ANÁLISIS - COMPILADOR

Archivo fuente : src/Test/revision_2.txt

==========================================
 SECCIÓN 1: TOKENS ENCONTRADOS
==========================================
Línea  Col    Token                     Lexema                   
-----------------------------------------------------------------
2      2      EMPTY_T                   empty                    
2      7      TILDE                     ~                        
2      8      MAIN                      __main__                 
2      17     PIPE_L                    <|                       
2      21     PIPE_R                    |>                       
2      26     BLOCK_OPEN                |:                       
3      2      IDENTIFIER                _arr_                    
3      7      INDEX_OPEN                <<                       
3      9      INTEGER_LITERAL           67                       
3      11     PLUS                      +                        
3      12     IDENTIFIER                _i_                      
3      15     COMMA                     ,                        
3      16     INTEGER_LITERAL           67                       
3      18     PLUS                      +                        
3      19     IDENTIFIER                _i_                      
3      22     INDEX_CLOSE               >>                       
3      25     ASSIGN                    <-                       
3      28     MINUS                     -                        
3      29     FLOAT_LITERAL             0.01                     
3      34     PLUS                      +                        
3      36     SCIENTIFIC_LITERAL        10e10                    
3      42     TIMES                     *                        
3      44     INTEGER_LITERAL           25                       
3      46     BANG                      !                        
4      2      BOOL_T                    bool                     
4      6      TILDE                     ~                        
4      7      IDENTIFIER                _b1_                     
4      11     BANG                      !                        
5      2      STRING_T                  string                   
5      8      TILDE                     ~                        
5      9      IDENTIFIER                _s1_                     
5      13     BANG                      !                        
6      2      CIN                       cin                      
6      5      TILDE                     ~                        
6      6      IDENTIFIER                _s1_                     
6      11     BANG                      !                        
7      2      COUT                      cout                     
7      6      TILDE                     ~                        
7      7      IDENTIFIER                _b1_                     
7      12     BANG                      !                        
8      2      COUT                      cout                     
8      6      TILDE                     ~                        
8      7      TRUE                      true                     
8      11     BANG                      !                        
9      2      COUT                      cout                     
9      6      TILDE                     ~                        
9      8      MINUS                     -                        
9      9      FRACTION_LITERAL          6//7                     
9      14     BANG                      !                        
10     2      RETURN                    return                   
10     8      TILDE                     ~                        
10     9      INTEGER_LITERAL           20                       
10     11     BANG                      !                        
11     2      RETURN                    return                   
11     8      TILDE                     ~                        
11     9      INTEGER_LITERAL           1                        
11     10     PLUS                      +                        
11     11     IDENTIFIER                _f_                      
11     15     PIPE_L                    <|                       
11     19     PIPE_R                    |>                       
11     22     BANG                      !                        
12     2      BLOCK_CLOSE               :|                       
14     1      FLOAT_T                   float                    
14     6      TILDE                     ~                        
14     7      IDENTIFIER                _mi_                     
14     13     PIPE_L                    <|                       
14     16     INT_T                     int                      
14     19     TILDE                     ~                        
14     20     IDENTIFIER                _dif_                    
14     25     COMMA                     ,                        
14     27     CHAR_T                    char                     
14     31     TILDE                     ~                        
14     32     IDENTIFIER                _otra_                   
14     39     PIPE_R                    |>                       
14     42     BLOCK_OPEN                |:                       
15     2      INT_T                     int                      
15     5      TILDE                     ~                        
15     6      IDENTIFIER                _otra_                   
15     12     BANG                      !                        
16     2      STRING_T                  string                   
16     8      TILDE                     ~                        
16     9      IDENTIFIER                _str_                    
16     14     ASSIGN                    <-                       
16     16     STRING_LITERAL            "Hola $~&¡¡:|$& |>  mundo"
16     42     BANG                      !                        
17     2      DO                        do                       
17     4      TILDE                     ~                        
18     3      BLOCK_OPEN                |:                       
19     3      DO                        do                       
19     5      TILDE                     ~                        
